comment,cleaned_comment,predicted_sentiment
Debat cawapres kok kayak konser musik jalan sana sini ga etis,cawapres kok kayak konser musik jalan sana sini ga etis,negative
"Sudah di seting, coba ada materi dadakan. Pertanyaan dadakan, bakal jawab apa😂😂😂",di ting coba ada materi dada dada bakal jawab apa,negative
Hilirisasi ... gak ngerti .... mohon penjelasan nya,gak ngerti mohon jelas nya,negative
Hanya kecurangan yg bisa memenangkan capres yg elektabilitas nya selalu nomor buncit di semua lembaga survey !,curang yg bisa menang capres yg elektabilitas nya selalu nomor buncit di semua lembaga survey,negative
"Aku tetap memilih Caimin,karna Amin masih bersih dari perintah yg tdk Baik selama ini,kalo Gibran karna memang pintar debat ,tapi apakah mampu memimpin negara,karna bukan infra struktur aja,tapi manusianya yg betul2 bisa lurus dan jujur itu yg susah",tetap pilih karna masih bersih dari perintah yg tdk lama inikalo karna memang pintar debat tapi apakah mampu pimpin negarakarna bukan infra struktur ajatapi manusia yg betul bisa lurus dan jujur itu yg susah,negative
Mntp ni debat😊😊,ni debat,negative
"Gibran mematahkan hinaan,cacian orang tentang dirinya... yg dia sampaikan sangat tajam.. dan terarah..  itu tidak mudah dilakukan.. dia buktikan dia layak menjadi wapres👍 mahfud tolong tetap dipakai dikabinet..karna beliau orgnya bagus.. klo paslon 1 abaikan saja...",patah hinaancacian orang tentang diri yg dia sampai sangat tajam dan arah itu tidak mudah laku dia bukti dia layak jadi wapres mahfud tolong tetap pakai dikabinetkarna beliau orgnya bagus klo paslon abai saja,negative
Cak imin sama pak Mahfud bukan debat kq malah curhat 😅😅,imin sama pak bukan debat kq malah curhat,negative
"Kirain plonga plongo doang, rupanya bikin melongo 😮",plonga plongo doang rupa bikin longo,negative
"No 3 berasa kaya lagi nonton srimulat,temen nya doyok si kadir yah?",asa kaya lagi nonton srimulattemen nya doyok si kadir yah,negative
Hilirisasi terus.. Semua hilirisasi.. 😅,terus hilir,negative
Kirain cupu mas gibran. Ternyata suhu. gaskan mas gibran...,cupu mas gibran suhu gas mas gibran,negative
"mohon maaf kepada semua rakyat indonesia yg sudah menonton 2x debat capres maupun cawapres ... ke 3 capres maupun cawapres belum ada yg punya visi dan misi agar masyarakat sejahtera aman dan keadilan ... inilah visi dan misi yg akan mensejahterakan rakyat, rakyat merasa aman dan merasakan keadilan segala sektor  antara lain sektor ekonomi, sektor pendidikan, sektor hukum, sektor tenaga kerja dll ... supaya masyarakat mendapatkan kesemuanya inilah visi dan misi yg baik antara lain : ... 1. kunci / rumus ekonomi, ... 2. hulunya ekonomi, ... 3. sumbernya ekonomi, ... 4. hilirnya ekonomi, untuk hilir ada banyak hilirnya yg udah didebatkan oleh ke 3 capres maupun cawapres itu baru sebagian kecil. ... padahal yg paling penting adalah: ... kunci ekonomi, hulunya ekonomi, sumbernya ekonomi ... ini semua akan saya jelaskan secara konkrit satu per satu secara sistim matik ... inilah akan membawa indonesia menjadi mercusuar dunia ... 08957070494.",mohon maaf kepada semua rakyat indonesia yg sudah tonton x debat capres maupun cawapres ke capres maupun cawapres belum ada yg punya visi dan misi agar masyarakat sejahtera aman dan adil ini visi dan misi yg akan sejahtera rakyat rakyat rasa aman dan rasa adil segala sektor antara lain sektor ekonomi sektor didik sektor hukum sektor tenaga kerja dll supaya masyarakat dapat semua ini visi dan misi yg baik antara lain kunci rumus ekonomi hulu ekonomi sumber ekonomi hilir ekonomi untuk hilir ada banyak hilir yg udah debat oleh ke capres maupun cawapres itu baru bagi kecil padahal yg paling penting adalah kunci ekonomi hulu ekonomi sumber ekonomi ini semua akan saya jelas cara konkrit satu per satu cara sistim matik ini akan bawa indonesia jadi mercusuar dunia,negative
Spill nama moderator cewek ini dong enak bgt suaranya,nama moderator cewek ini dong enak bgt suara,negative
"Debat yg paling membosankan yg pernah saya saksikan , Ketiga nya bosan,",yg paling bosan yg pernah saya saksi nya bosan,negative
"Cam kan ini!  Sampai saat ini saya tetap golput! Dari zaman pemerintahan alm gusdur, saya selalu golput dlm pemilihan presiden. Selagi bakal calon belum   memberi janji KORUPSI DIHUKUM MATI.. saya akan selalu golput!  klo korupsi dihukum mati, negara ini dijamin disegani dunia,, seperti halnya Cina dan korea utara,,",kan ini saat ini saya tetap golput zaman perintah alm gusdur saya selalu golput dlm pilih presiden bakal calon belum beri janji korupsi hukum mati saya akan selalu golput klo korupsi hukum mati negara ini jamin segani dunia seperti hal dan korea utara,negative
"Jebule gibran iso debat, tak arani raisoee",gibran iso debat tak arani raisoee,negative
Saya akui Gibran sgt,aku sgt,negative
Apaan si slepat slepet mulu dari tadi😑,si slepat slepet mulu dari tadi,negative
Cuma 01 dan 03 pembukaan aja udh sindir 02 wkwk,dan buka aja udh sindir wkwk,negative
Mohon maaf saya anak bangsa yang paling bawah terharu sedih kecewa dan marah karena calon pemimpin bangsa ini diperlakukan seperti anak sekolahan seharusnya kalau calon pemimpin baik capres maupun cawapres adukan argumennya dengan bebas jangan dibuatkan soal jawab ini lucu kalau dia menjadi presiden maupun wakil presiden kelak apa yg akan diperbuat mau mengelola negara ini seperti apa baik itu menyangkut hukum ekonomi politik  bebas aktip dan lain sebagainya mau mensejahtrakan rakyatnya caranya bagaimana  mengelola kekayaan alam bagaimana caranya  mencerdaskan kehidupan bangsa bagaimana caranya membina kerukunan beragama bagaimana caranya mengelola hasi tanah laut dan yambang bagaimana caranya contoh2 seperti ini yg harus diperdebatkan secara bebas tidak perlu dibuatkan kisi2 soal jawab itu adalah murni gagasan dari masing2 pribadi calon2 pemimpin bangsa bebas berbicara mengeluarkan ide pendapat lepaskan dia debat bebas dalam kurun waktu 1 jam jangan cuma 1meni 2menit apa2an ini tolong pemikir bangsa ini berpikir cerdas sekali lagi berpikirlah dengan cerdas,maaf saya anak bangsa yang paling bawah haru sedih kecewa dan marah karena calon pimpin bangsa ini laku seperti anak sekolah harus kalau calon pimpin baik capres maupun cawapres adu argumen dengan bebas jangan buat soal jawab ini lucu kalau dia jadi presiden maupun wakil presiden kelak apa yg akan buat mau kelola negara ini seperti apa baik itu sangkut hukum ekonomi politik bebas aktip dan lain bagai mau mensejahtrakan rakyat cara bagaimana kelola kaya alam bagaimana cara cerdas hidup bangsa bagaimana cara bina rukun agama bagaimana cara kelola has tanah laut dan yambang bagaimana cara contoh seperti ini yg harus debat cara bebas tidak perlu buat kisi soal jawab itu adalah murni gagas dari masing pribadi calon pimpin bangsa bebas bicara keluar ide dapat lepas dia debat bebas dalam kurun waktu jam jangan cuma meni menit apa ini tolong pikir bangsa ini pikir cerdas sekali lagi pikir dengan cerdas,negative
"yg kakek"" minggir biar yg muda maju 😅",yg kakek minggir biar yg muda maju,negative
pak fadli agak kurusan,pak fadli agak kurus,negative
"Nanya ke ortu seperti itu,,
Yg lain nanya sambil berkata mas/pak.
Lah ini bocah nanya ke pak mahfud bner2 gk beradap kaya anak tk😮",ke ortu seperti itu lain nanya sambil kata maspak ini bocah nanya ke pak mahfud bner gk adap kaya anak tk,negative
Masa allah mas Gibran gk nyangka sepinter ini jawab an nya ...banyak yg bilang planga plongo ...lihat tuh netizen,allah mas gk nyangka sepinter ini jawab an nya banyak yg bilang planga plongo lihat tuh netizen,negative
"pak Mahfud aku padamuuuuu, kl misalnya emg paslon 2 jadi, semoga pak Mahfud masuk kabinetnya",pak aku padamuuuuu kl misal emg paslon jadi moga pak masuk kabinet,negative
